dataset,model,estimate,SE,statistic,p_value,conf_low,conf_high,n_samples,covariates,signature_condition_number,dataset_label
GSE150910,Unadjusted,-0.705589372777584,0.130660579614406,-5.40017023389808,1.84311674799043e-07,-0.963207727401894,-0.447971018153275,206,"",5.16565692096132,GSE150910
GSE150910,Marker-score adjusted,-0.315702741964949,0.183062518670226,-1.72456242959087,0.0861669416141258,-0.67670522831937,0.0452997443894722,206,AT2;AT1;Fibroblast;Myofibroblast;Macrophage;Endothelial,5.16565692096132,GSE150910
GSE150910,NNLS adjusted,-0.223817875104133,0.178485861977062,-1.25398097431883,0.211327387471706,-0.575795114469578,0.128159364261313,206,prop_AT2_z;prop_AT1_z;prop_Fibroblast_z;prop_Myofibroblast_z;prop_Macrophage_z;prop_Endothelial_z,5.16565692096132,GSE150910
GSE110147,Unadjusted,-1.28280963637698,0.296105680810444,-4.33226958991777,0.000143942680200195,-1.88672115394425,-0.678898118809721,33,"",5.16740551924259,GSE110147 (max VIF 27.4)
GSE110147,Marker-score adjusted,-0.991469769910078,1.00050061390445,-0.990973674709571,0.331193531272061,-3.05203935629964,1.06909981647949,33,AT2;AT1;Fibroblast;Myofibroblast;Macrophage;Endothelial,5.16740551924259,GSE110147 (max VIF 27.4)
GSE110147,NNLS adjusted,0.395011735924152,1.19378036821763,0.330891465834642,0.743483881371535,-2.06362495594009,2.8536484277884,33,prop_AT2_z;prop_AT1_z;prop_Fibroblast_z;prop_Myofibroblast_z;prop_Macrophage_z;prop_Endothelial_z,5.16740551924259,GSE110147 (max VIF 27.4)
GSE24206,Unadjusted,-1.10424507446846,0.422093824439975,-2.61611284157864,0.0161358600027477,-1.98203723554788,-0.22645291338903,23,"",5.07935408590933,GSE24206
GSE24206,Marker-score adjusted,-1.96114586434182,0.512503534654818,-3.82659968513719,0.00165098523176569,-3.05352129037961,-0.868770438304031,23,AT2;AT1;Fibroblast;Myofibroblast;Macrophage;Endothelial,5.07935408590933,GSE24206
GSE24206,NNLS adjusted,-0.258934669488424,0.997657399885405,-0.259542674186716,0.79874495683533,-2.38539108109852,1.86752174212167,23,prop_AT2_z;prop_AT1_z;prop_Fibroblast_z;prop_Myofibroblast_z;prop_Macrophage_z;prop_Endothelial_z,5.07935408590933,GSE24206
