label,estimate,low,high,type
GSE150910,-0.74972545531739,-1.03236766988644,-0.467083240748336,Cohort
GSE110147,-1.56077714091922,-2.38223548757218,-0.739318794266254,Cohort
GSE24206,-1.19738055020938,-2.19607006313969,-0.198691037279076,Cohort
Hartung-Knapp pooled,-1.0456481470138,-2.10042004276177,0.00912374873415911,Pooled
