dataset,source,hedges_g,ci_low,ci_high,dataset_label
GSE110147,Raw CEL RMA,-1.56077714091922,-2.38223548757218,-0.739318794266254,GSE110147
GSE24206,Raw CEL RMA,-1.19738055020938,-2.19607006313969,-0.198691037279076,GSE24206
GSE110147,GEO series matrix,-1.58466804669024,-2.40895565031732,-0.760380443063161,GSE110147
GSE24206,GEO series matrix,-1.17530238388676,-2.17159014788541,-0.17901461988811,GSE24206
