logFC,AveExpr,t,P.Value,adj.P.Val,B,gene_id,status,neg_log10_FDR,symbol
1.35735040724094,2.6923066664846,3.66769716592505,0.00764704624890416,0.0666565066164151,-2.39589968621095,1,NS,1.17615745090606,A1BG
1.90866720676275,3.46851914350149,4.03039366825903,0.0047908582266444,0.0521265732097831,-1.9992501432773,100,NS,1.28294082456462,ADA
1.99743195529421,-0.662178213513629,3.23280646585078,0.0139105662260822,0.0882265672396494,-2.6801475257162,1000,NS,1.05440061817643,CDH2
-0.815788436854777,3.74604622583559,-2.69970205480685,0.0299393795360904,0.12720071883302,-3.8864366637986,100009676,NS,0.895510434408266,ZBTB11-AS1
-0.258961518606736,4.42255841081783,-1.02375135890383,0.33921586241086,0.51522362662236,-6.26412764627122,10001,NS,0.288004229738994,MED6
0.148271376608976,-0.757934106580872,0.250057202178684,0.80955039886649,0.889966139142461,-5.94669303775893,10002,NS,0.0506265167970338,NR2E3
-0.101469243036106,-1.00992669760915,-0.160903343819493,0.876605415269692,0.930339439339613,-5.9233001729018,100034743,NS,0.0313585678589803,PDZK1P1
1.62303902553718,-0.410310248824357,2.85073571752715,0.0240185909714302,0.113756994443248,-3.20545808784554,10004,NS,0.944021890893105,NAALADL1
2.49545162182994,1.75747006076379,5.21589430248479,0.00114269354706673,0.0277978324958501,-0.40161003812957,100048912,Up,1.55598906637655,CDKN2B-AS1
1.18665149544302,-1.06465173958188,1.52226456991495,0.170774256408684,0.333699376262648,-4.90217480143818,100049587,NS,0.476644605110096,SIGLEC14
-2.31300697393258,4.46712143731971,-7.6968001647859,0.00010243790647459,0.011990556507214,1.92454023129218,100049716,Down,1.92116065990336,NINJ2-AS1
0.211413822426659,4.26582247822514,0.804807331973912,0.446768771391878,0.613176022012333,-6.45891251972834,10005,NS,0.212414836386704,ACOT8
-0.277670264912892,6.20760057063235,-0.865901643895874,0.414686972765807,0.585157432950678,-6.47900359486425,10006,NS,0.232727273980453,ABI1
-0.537896375463159,4.56853102949095,-1.82218004764582,0.110180997514002,0.256174727355527,-5.28846516220867,10007,NS,0.591463717336927,GNPDA1
-0.282812813150224,3.11505046142512,-0.569688637413792,0.586356112019414,0.730301615094449,-6.42416930184206,10008,NS,0.136497738895957,KCNE3
-0.365273831936744,4.47083464751199,-0.852776597597022,0.421462158455343,0.591319806064447,-6.42301938485751,10009,NS,0.228177574204952,ZBTB33
1.03218971079677,4.76109522319656,2.50855409130061,0.039840016604358,0.147799164295155,-4.32166820994222,100093630,NS,0.830328021577383,SNHG8
0.0536873974297887,7.77663545540625,0.187158988584798,0.856717399621985,0.918854515712852,-6.77972195768676,100093631,NS,0.0367532459858176,GTF2IP4
2.48612954123476,4.96426348376821,8.04622611664384,7.72153175558869e-05,0.0110961902751997,2.18492717437352,1001,Up,1.95482610467803,CDH3
-1.18053514511403,5.6448181045786,-4.17156890290798,0.00396752719500387,0.0475839289535194,-1.94035962391592,10010,Down,1.32253970159286,TANK
4.65324200112585,-3.91448768816437,6.30629397041652,0.000362851984562882,0.0170153936963556,0.0971534620893033,100101117,Up,1.76915799789484,TTTY2B
1.59536893277986,2.64598207428088,2.46770921721085,0.0423194842293454,0.153152182838422,-4.11708253787315,100101148,NS,0.814876808926453,FKBP6P1
-0.548111863346342,5.99641907840234,-2.11386206168178,0.0714050542176268,0.201526148007976,-4.92937885428668,100101267,NS,0.695668596178808,POM121C
1.06697109177518,0.799803467234228,2.42856198415681,0.0446778037831489,0.157605105869871,-3.91229739570783,100101268,NS,0.80242971695312,SPDYE12
-0.0133076918949595,3.65022401794291,-0.0363799664755451,0.971974822036511,0.983542053555078,-6.714020200821,100101440,NS,0.00720706610920171,PMS2P7
-0.75248699818905,3.64663246310777,-2.57287998748999,0.0360808530073749,0.140171003515289,-4.06391006565307,100101467,NS,0.853341817437421,ZSCAN30
-0.116841838517761,5.44842366383614,-0.481458510156677,0.644524677037306,0.775743151899902,-6.75272769366253,10011,NS,0.110282049588736,SRA1
1.30261102451694,4.55219118503977,2.36642031652175,0.0491738589471985,0.165799240243982,-4.51598539081678,100113386,NS,0.780417463885879,UCKL1-AS1
-1.58973918203603,2.73541751801927,-3.67900578772758,0.0075471493834769,0.0662820419167038,-2.31095541066977,100113407,NS,1.17860412096035,TMEM170B
0.480362909522557,-1.44671591871564,0.410205039325886,0.693683780226418,0.810941302753499,-5.80323173234824,100124538,NS,0.0910105795900872,SNORA70C
1.84898819537114,-0.853376954792806,1.64218949120565,0.143707631843796,0.30046728432115,-4.79009292666556,100125288,NS,0.52220280822791,ZGLP1
1.53038435808443,2.00452323845748,3.42334171317398,0.0106871052894947,0.0777860642270108,-2.65301167229446,100125556,NS,1.10909820212884,FAM86JP
-1.24157954408241,-1.32733417254553,-1.28902489669754,0.237573081373917,0.409690267372642,-5.07024611527602,100126314,NS,0.387544353050914,MIR877
-0.0569800339334788,0.236676135428074,-0.0795159259092541,0.938804856397926,0.965312665645372,-6.1179721550787,100126338,NS,0.0153319954945423,MIR937
1.79765026395455,-1.28132238994997,2.46574250569366,0.0422799594402946,0.153141065450662,-3.65917651205151,100126784,NS,0.81490833570797,LEISA1
-1.08417814079404,-0.932089277918738,-1.45878898923017,0.186957435038212,0.35359298331747,-4.93969431276602,100126791,NS,0.451496361692729,EGOT
0.288631478650621,-0.0817756907297206,0.511628904545879,0.624273317833329,0.759745385354824,-5.9493143293264,100126793,NS,0.119331929117085,GHRLOS
1.85391107406888,-2.24057821662205,2.21809523006271,0.0611223222006853,0.184431031133169,-3.91285360444512,100127888,NS,0.734166005646308,SLCO4A1-AS1
-2.76463851050475,1.24814434333375,-5.67121433070853,0.00069353410239382,0.021681598012731,0.0628024257026008,100127983,Down,1.66390871186912,C8orf88
-0.691058514677063,0.800342587387282,-1.51511628380499,0.172475604264904,0.336004024908587,-5.10880707732013,100128025,NS,0.473655520273489,WWTR1-AS1
-2.2359857481909,3.45619251092507,-3.26888462321846,0.0133171671629813,0.0863197609780299,-2.93021731794951,100128055,NS,1.06388977089774,SMARCA5-AS1
0.523466450334278,3.55359822999856,1.85192107571646,0.10542534145282,0.24943184313067,-5.1402151181825,100128071,NS,0.60304810413271,FAM229A
0.226078691610863,0.917917667979377,0.257561764617019,0.804009977763445,0.885831175304923,-6.19399885499592,100128079,NS,0.0526490395348327,LOC100128079
0.907433095948962,-1.25258416599822,1.25299666718002,0.24948776525325,0.422867373367459,-5.17945085883448,100128081,NS,0.373795821859704,JAZF1-AS1
1.22587546478062,-1.77667289572998,1.35338795967742,0.217207849971213,0.387347138682063,-5.01531758860912,100128108,NS,0.411899647801506,UBE2Q2P13
-0.848864899919427,2.95787937393015,-2.08169677541754,0.0749598530913844,0.20698932472814,-4.65942586623157,100128191,NS,0.684052052278414,TMPO-AS1
2.56301717065922,1.21988299569657,4.58634700986296,0.00239820126239835,0.037666133475492,-1.0999557329014,100128239,Up,1.42404895894307,LINC02731
0.513261986181092,1.72496084757142,0.57174285476574,0.585036086565224,0.729475318747836,-6.19856836576945,100128252,NS,0.136989397551137,ZNF667-AS1
2.34710163826273,-1.2129673289346,3.39432509748332,0.0111042688656315,0.07896076945636,-2.4509642668956,100128253,NS,1.10258862820794,LOC100128253
1.06475208328265,-2.71610729659141,0.540493529393486,0.605297238853277,0.744832558922687,-5.5770129829705,100128260,NS,0.127941347263824,WASIR1
0.209296521037139,2.20936785447169,0.518843697282582,0.619480505063344,0.755980277622623,-6.30004829170556,100128262,NS,0.121489534434497,TNK2-AS1
0.430058955264929,-0.144718658155167,0.748289177577601,0.478085830257069,0.63926824243112,-5.79117164835774,100128285,NS,0.194316869912296,DNM1P35
1.59189615922397,0.639863292826301,2.5905535158333,0.035303935440386,0.138737462447874,-3.67251965127246,100128292,NS,0.857806253147458,DLG5-AS1
-0.353720042149955,-1.35526481967572,-0.475701377477678,0.648426663374038,0.777732319780452,-5.76084188801458,100128325,NS,0.109169852940654,LINC03008
1.80081399952812,-1.08299430678923,3.05079351701012,0.0180051511015503,0.0993148267308891,-2.8951590136148,100128386,NS,1.00298591075201,ARHGAP42-AS1
0.104086761569875,3.05820144892119,0.172047110511687,0.868175081980414,0.925357962152458,-6.58207370506479,100128398,NS,0.0336902338396922,ZNF606-AS1
-1.37904501628997,6.56614653921545,-2.75668459146697,0.0276803866227633,0.122415762821867,-3.96173899544393,100128494,NS,0.912162656816318,LOC100128494
0.156925571307281,2.13979146557121,0.411842543490986,0.692477625168471,0.810229366462015,-6.34200037270261,100128511,NS,0.0913920200252065,NEBL-AS1
-0.984439295609506,1.41797530381098,-1.9251155217144,0.0945819093766592,0.234871676322311,-4.64033608333804,100128531,NS,0.629169352565045,KIAA1671-AS1
0.108709081163589,4.47949482627993,0.447397887688529,0.667779800460589,0.79271640981907,-6.71759180329472,100128537,NS,0.100882151494873,MIR29B2CHG
0.518041352013059,-0.130157296660534,0.995863112227362,0.351700947403684,0.526733240104586,-5.5845865409652,100128568,NS,0.278409274126875,RANBP3-DT
-0.153386256578159,2.07014561015106,-0.322468797951929,0.756299372352978,0.853987251693485,-6.35032995274887,100128569,NS,0.0685486124029123,TEKTIP1
-1.22199931074811,0.635820848172154,-2.33709425576021,0.0511875800218484,0.168561804434388,-3.96810948326535,100128640,NS,0.773240828303473,ACVR2B-AS1
-3.44587204881454,2.87347836595459,-5.82832993421516,0.000599128391359918,0.0204552040476082,0.23366334015437,100128675,Down,1.68919618390903,HPN-AS1
0.134688280495988,6.11971011536801,0.29148610799482,0.77896528358906,0.868697612099505,-6.8344956753359,100128731,NS,0.0611313722862923,OST4
-0.993690509117855,3.83324930183243,-2.84535229632686,0.0242370585078931,0.114354563537625,-3.67685146139866,100128750,NS,0.941746499359272,RBPMS-AS1
0.263840979030141,4.43617803836598,0.782404614008805,0.45913124580501,0.623612708927229,-6.49562509523117,100128770,NS,0.205085042680238,LOC100128770
0.0548029848487639,2.78569181646157,0.138549020630961,0.893618592392238,0.939741706698307,-6.54212488174201,100128782,NS,0.0269914982835352,ERCC6L2-AS1
1.20124870383841,1.1223254498858,1.95532803208191,0.0906313035599128,0.22997182966934,-4.61900767806788,100128788,NS,0.638325359497372,SRRM2-AS1
-0.133950868892576,3.16294012245592,-0.383955956656394,0.712133782911697,0.824147635514011,-6.53588759279055,100128822,NS,0.0839949830288203,LINC01003
0.628098610156383,2.76972719250261,2.02938542081092,0.0809894930074865,0.215561958848285,-4.7581053356669,100128881,NS,0.666427878550053,VPS9D1-AS1
0.253392497573478,1.93709517339643,0.499636421590797,0.632356247003413,0.766393790089732,-6.26195485828665,100128890,NS,0.115548022902227,FAM66B
-0.930208228006463,2.96424135892346,-1.78870262914351,0.115958055206062,0.263622134335286,-5.07189031269014,100128893,NS,0.579018128159566,GATA6-AS1
-1.42961149175983,5.04349514794245,-5.12909021764121,0.00125522411160186,0.0288974071976183,-0.696455998915472,100128927,Down,1.53914112230512,ZBTB42
0.135293113583574,1.97135711074866,0.355380286892358,0.73252070495797,0.837790636861389,-6.3334504875157,100129029,NS,0.0768644976178583,PKP4-AS1
0.0587311713066322,1.72226234415185,0.121847554311236,0.906365399924917,0.947051588326647,-6.34897560734331,100129046,NS,0.0236263632191486,BCAR3-AS1
1.08657717241199,5.08957933274787,2.59935008632384,0.0348500999764682,0.137949150804616,-4.20050186941561,100129060,NS,0.860280968631729,SEMA3F-AS1
-0.147653307260049,-0.324468667890349,-0.272260032642546,0.793089078993279,0.878416205095721,-5.9992729973155,100129075,NS,0.056299660919105,KTN1-AS1
1.71295570089323,-2.27475824159396,2.08232177196427,0.0748443413357927,0.206702021896583,-4.08386128529118,100129083,NS,0.684655275214829,SIGLEC10-AS1
1.41140427951575,2.30994296800542,1.7429200214149,0.124031434797974,0.274463984975657,-5.09070091524543,100129175,NS,0.561514635376014,LOC100129175
