omitted_cohort,k,pooled_g,CI_low,CI_high,p_value,I2,prediction_low,prediction_high,label
GSE150910,2,-1.41413110408226,-3.67945925581779,0.851197047653259,0.0798399818846571,0,-3.67945925581779,0.851197047653259,Omit GSE150910
GSE110147,2,-0.782922091807799,-2.27332398638629,0.707479802770697,0.09467404075662,0,-2.27332398638629,0.707479802770697,Omit GSE110147
GSE24206,2,-1.05978313840319,-6.06765676609333,3.94809048928695,0.226665814839011,70.1355935975094,-8.9541585007668,6.83459222396043,Omit GSE24206
